02 00 | HP Up (Passive)
E0 02 | Assault Howl
E1 02 | Frost Fang
E2 02 | Venom Fang
E3 02 | Eye of Madness
E4 02 | Onrush
E5 02 | Elemental Gel
E6 02 | Ice King's Howl	
E7 02 | Sealing Bolt
E8 02 | Poison Sting
E9 02 | Wind Guard
EA 02 | Crushing Jaw
EB 02 | Black Wings
EC 02 | Binding String
ED 02 | Confusing Dust
EE 02 | Slice and Dice
EF 02 | Air Slash
F0 02 | Terror Sting
F1 02 | Discharge
F2 02 | Cannibalize
F3 02 | Night Call
F4 02 | Crazed Fang
F5 02 | Brutal Ray
F6 02 | Do or Die
F7 02 | Horn Smash
F8 02 | Jump
F9 02 | Hex
FA 02 | Gale Wings
FB 02 | Tearing Claws
FC 02 | Reaping Claws
FD 02 | Thunderous Fury
FE 02 | Crazed Glare
FF 02 | Ripping Claws
00 03 | Last Cry
01 03 | Headbutt
02 03 | Cripple
03 03 | Frail Aura
04 03 | Power Gel
05 03 | Revenge Claw
06 03 | Silver Bullet
07 03 | Nightmare
08 03 | Night Run
09 03 | King of Kings
0A 03 | Revenge Blade
0B 03 | Glinting Blade
0C 03 | Death's Edge
0D 03 | Dark Blade
0E 03 | EMP
0F 03 | Stance
10 03 | Slaughter Blade
11 03 | Greedy Bite
12 03 | Electric Impact
13 03 | Ancient Guard
14 03 | Affection Collar
15 03 | Curse Dance
16 03 | Rejection Needle
17 03 | Vile Fangs
18 03 | Scorching Light
19 03 | Madness Dust
1A 03 | Evil Cry
1B 03 | Tripple Death
1C 03 | Bloody Blade
1D 03 | Sleep Pollen
1E 03 | Dancing Petals
1F 03 | Terror Pain
20 03 | Absorb Vine
21 03 | Warhammer
22 03 | Reversal Beat
23 03 | Not Used
24 03 | Playful Bite
25 03 | Frolic
26 03 | Pout
27 03 | Blood Drain
28 03 | Echolocation
29 03 | Toxic Breath
2A 03 | Explosives
2B 03 | Petrifying Stare
2C 03 | Jolting Blow
2D 03 | Horror Banquet
2E 03 | Holy Shock
2F 03 | Command Boars
30 03 | Swing
31 03 | Appraise
32 03 | Infectious Club
33 03 | Destructive Claw
34 03 | Holy Fire
35 03 | Head Splitter
36 03 | Snaring String
37 03 | Poison Fang
38 03 | Confuse Vine
39 03 | Scythe Slash
3A 03 | Execution Scythe
3B 03 | None
3C 03 | None
3D 03 | None
3E 03 | None
3F 03 | None
40 03 | None
41 03 | None
42 03 | None
43 03 | None
44 03 | None
45 03 | None
46 03 | None
47 03 | None
48 03 | None
49 03 | None
4A 03 | None
4B 03 | None
4C 03 | None
4D 03 | None
4E 03 | None
4F 03 | None
50 03 | None
51 03 | None
52 03 | None
53 03 | None
54 03 | None
55 03 | None
56 03 | None
57 03 | None
58 03 | None
59 03 | None
5A 03 | None
5B 03 | None
5C 03 | None
5D 03 | None
5E 03 | None
5F 03 | None
60 03 | None
61 03 | None
62 03 | None
63 03 | Snake Pile
64 03 | Great Blaze
65 03 | Double Strike
66 03 | Menacing Roar
67 03 | Madness Roar
68 03 | Dispersed Cruelty
69 03 | Inferno Strike
6A 03 | Stun
6B 03 | Terror's Embrace
6C 03 | Kingly Fire
6D 03 | Explosion
6E 03 | Blind Laughter
6F 03 | Loose Thread
70 03 | Pandemonium
71 03 | Blossom Sketch
72 03 | Corpse Ash
73 03 | Spellsword
74 03 | Nature's Will
75 03 | Blind Laughter
76 03 | Loose Thread
77 03 | Fire Rounds
78 03 | Ice Rounds
79 03 | Volt Rounds
7A 03 | Rapid Fire
7B 03 | Accelerate
7C 03 | Mystic Shot
7D 03 | Fire Rounds
7E 03 | Ice Rounds
7F 03 | Volt Rounds
80 03 | Cry Soul
81 03 | Lullaby
82 03 | Piercing Shell
83 03 | Ice Shave
84 03 | Six Sins
85 03 | Call Ally
86 03 | Tentacle Creep
87 03 | Shrill Cry
88 03 | Chaos Scream
89 03 | Claws of Despair
8A 03 | Storm Feather
8B 03 | Feast
8C 03 | Putrid Breath
8D 03 | Violent Cry
8E 03 | Berserk Cry
8F 03 | Reckless Barrier
90 03 | Tusk Strike
91 03 | Brandish
92 03 | Eradicate
93 03 | King's Rush
94 03 | VOID0
95 03 | VOID1
96 03 | VOID2
97 03 | VOID3
98 03 | LRDA
99 03 | AACV
9A 03 | Standby
9B 03 | MACV
9C 03 | REPAIR
9D 03 | Dazzling Sunlight
9E 03 | Hail and Rain
9F 03 | Crashing Thunder
A0 03 | Birth of Anguish
A1 03 | Mountain Stream
A2 03 | Solitude
A3 03 | Message Standby
A4 03 | Seek
A5 03 | Dance
A6 03 | Call Ally
A7 03 | Call Ally
A8 03 | Hellish Wail
A9 03 | Colossal Meteor
AA 03 | Grinding Mace
AB 03 | Binding Spike
AC 03 | Hundred Strikes
AD 03 | Avarice Claw
AE 03 | Crushing Tail
AF 03 | Hellfire Breath
B0 03 | Heal Cry
B1 03 | Call Ally
B2 03 | Null thy Strength
B3 03 | Pity the Weak
B4 03 | Behold my Power
B5 03 | Dance with Lunacy
B6 03 | Strongman's Glory
B7 03 | Recluse's Glory
B8 03 | Value of Solitude
B9 03 | My Wrath
BA 03 | My Sorrow
BB 03 | My Mercy
BC 03 | Release my Power
BD 03 | Liberating Light
BE 03 | Eternal Exodus
BF 03 | Howling Winds
C0 03 | Noble Rest
C1 03 | Unhand Me
C2 03 | My Realm
C3 03 | Twilight's Gleam
C4 03 | Sunlight's Dawn
C5 03 | Call Ally
C6 03 | Stone Gleam
C7 03 | Doom Breath
C8 03 | Dark Moon
C9 03 | Impairing Claws
CA 03 | Pound
CB 03 | Call Ally
CC 03 | Poison Swamp
CD 03 | Silk Spread
CE 03 | Silk Spit
CF 03 | Venomous Bite
D0 03 | Stinger
D1 03 | Avalance
D2 03 | Soul Freeze
D3 03 | Pile Bunker
D4 03 | Buster Arm
D5 03 | Crystal Scar
D6 03 | Call Ally
D7 03 | Electric Arrow
D8 03 | Plasma Shot
D9 03 | Volt Shot
DA 03 | Lightspeed
DB 03 | Lightspeed
DC 03 | Spindrift
DD 03 | Electric Arrow
DE 03 | Rising Flame
DF 03 | Overpower
E0 03 | Condemn Blade
E1 03 | Nihil Blade
E2 03 | Soundless Blade
E3 03 | Flame Formation
E4 03 | Release Flame
E5 03 | Flash
E6 03 | Power of Stone
E7 03 | Blind Laughter
E8 03 | Blind Laughter
E9 03 | None
EA 03 | Pandemonium
EB 03 | Blossom Sketch
EC 03 | None
ED 03 | None
EE 03 | Seek
EF 03 | Crystal Scar
F0 03 | None
F1 03 | Power of Stone
F2 03 | Power of Stone
F3 03 | Power of Stone
F4 03 | Release my Power
F5 03 | Release my Power
F6 03 | Unhand me
F7 03 | None
F8 03 | None
F9 03 | None
FA 03 | None
FB 03 | None
FC 03 | None
FD 03 | None
FE 03 | None
FF 03 | None
00 04 | None
01 04 | None
02 04 | None
03 04 | None
04 04 | None
05 04 | None
06 04 | None
07 04 | None
08 04 | None
09 04 | None
0A 04 | None
0B 04 | None
0C 04 | None
0D 04 | None
0E 04 | None
0F 04 | None
10 04 | None
11 04 | None
12 04 | None
13 04 | None
14 04 | None
15 04 | None
16 04 | None (Passive)
17 04 | Stomach Acid (Passive)
18 04 | Bracing Liquid (Passive)
19 04 | Freezing Fluid (Passive)
1A 04 | Survival Instinct (Passive)
1B 04 | Paralyzing Fluid (Passive)
1C 04 | Chase Laser (Passive)
1D 04 | Hell Thread (Passive)
1E 04 | Special Standby (Passive)
1F 04 | Poison Sap (Passive)
20 04 | Infernal Rounds (Passive)
21 04 | Survive (Passive)
22 04 | Chase Laser
23 04 | Thousand Eyes (Passive)
24 04 | Forbidden Light (Passive)
25 04 | Cell Membrane (Passive)
26 04 | Frost Bomb (Passive)
27 04 | Cell Membrane
28 04 | None (Passive)
29 04 | None (Passive)
2A 04 | None (Passive)
2B 04 | None
2C 04 | Stomach Acid
2D 04 | Bracing Liquid
2E 04 | Freezing Fluid
2F 04 | Paralyzing Fluid
30 04 | Poison Sap
31 04 | Hell Thread
32 04 | Revenge Needle
33 04 | Rejection Needle
34 04 | Do or Die
35 04 | Cannibalize
36 04 | Cannibalize
37 04 | Glinting Blade
38 04 | Slaughter Blade
39 04 | Warhammer
3A 04 | Reversal Beat
3B 04 | Survival Instinct
3C 04 | Ice Breath
3D 04 | Mirror Shield
3E 04 | Crushing Arm
3F 04 | Cold Regen
40 04 | Wail
41 04 | Triple Strike
42 04 | Call Ally
43 04 | Resonant Ice
44 04 | Volt Torrent
45 04 | Ancient Curse
46 04 | Judgement
47 04 | Corrupting Howl
48 04 | Binding Dance
49 04 | Call Ally
4A 04 | Resonant Thunder
4B 04 | Fire Torrent
4C 04 | Resonant Roar
4D 04 | Dragon Strike
4E 04 | Draconic Fury
4F 04 | Dragon Claw
50 04 | Wyrm Quake
51 04 | Call Ally
52 04 | Resonant Fire
53 04 | Wing Talon
54 04 | Tail Strike
55 04 | Whirlwind
56 04 | Burning Ray
57 04 | Sharp Roar
58 04 | Flame Formation
59 04 | Mirror Shield
5A 04 | Calamity Fangs
5B 04 | AACV
5C 04 | MACV
5D 04 | My Realm
5E 04 | Poison Swamp
5F 04 | Release Flame
60 04 | Regen
61 04 | Force Wall
62 04 | Power Wall
63 04 | Rock Hammer
64 04 | Triple Hammer
65 04 | Infernal Rounds
66 04 | Blessed Light
67 04 | Plague Club
68 04 | Crush
69 04 | Reflect Guard
6A 04 | Berserk Vines
6B 04 | Ensnaring Vines
6C 04 | White Plasma
6D 04 | Steel Stinger
6E 04 | Freeze
6F 04 | Red Plasma
70 04 | Healing Dance
71 04 | Crazed Dance
72 04 | Command Boars
73 04 | Forbidden Light
74 04 | Thousand Eyes
75 04 | Reflect Guard
76 04 | Calamity Eyes
77 04 | Core Charge
78 04 | None
79 04 | Pitfall Snare
7A 04 | Pitfall Escape
7B 04 | Root Cyclone
7C 04 | Earth Slash
7D 04 | Demon's Lance
7E 04 | Poison Dust
7F 04 | Calmaity Eyes
80 04 | Ruinous Curse
81 04 | Pandemic
82 04 | Isolate
83 04 | Armageddon
84 04 | End Times
85 04 | Core Charge
86 04 | Segment
87 04 | Giga Flame
88 04 | Freezing Nova
89 04 | Thunder Rain
8A 04 | Awaken
8B 04 | Fang Flurry
8C 04 | Glacial Fin
8D 04 | Torment Barb
8E 04 | Execution Barb
8F 04 | Earth Slash
90 04 | Demon's Lance
91 04 | Giga Flame
92 04 | Freezing Nova
93 04 | Thunder Rain
94 04 | Paralyze All (D)
95 04 | Fear All (D)
96 04 | Sleep All (D)
97 04 | Confuse All (D)
98 04 | Stun All (D)
99 04 | Head Bind All (D)
9A 04 | Arm Bind All (D)
9B 04 | Leg Bind All (D)
9C 04 | Kill All (D)
9D 04 | Petrify All (D)
9E 04 | None
9F 04 | None
A0 04 | None
A1 04 | None
A2 04 | None
A3 04 | Power Needle
A4 04 | Tentacle Rage
A5 04 | Shock Swing
A6 04 | Venom Claw
A7 04 | Chaos Slash
A8 04 | Toxic Gas
A9 04 | Power Needle
AA 04 | Toxic Gas
AB 04 | Horrific Roar
AC 04 | Cold Fangs
AD 04 | Silver Fang
AE 04 | Binding Howl
AF 04 | Silent Stare
B0 04 | Cross Counter
B1 04 | Cross Counter
B2 04 | Horn Rush
B3 04 | Combo Smash
B4 04 | Hurricane Punch
B5 04 | Cure
B6 04 | Holy Veil
B7 04 | Crunch
B8 04 | Queen's Verdict
B9 04 | Duster
BA 04 | Ruler's Eye
BB 04 | Attack Unit
BC 04 | Defense Unit
BD 04 | Ice Breath
BE 04 | Flood
BF 04 | Tackle
C0 04 | Coiling Tail
C1 04 | Freeze Aura
C2 04 | Aqua Veil
C3 04 | Thunderwing
C4 04 | Pinion Spear
C5 04 | Deathbringer
C6 04 | Chaosbringer
C7 04 | Grip
C8 04 | Wind Breath
C9 04 | Flame Sigh
CA 04 | Frost Smile
CB 04 | Lightning
CC 04 | Tendil Thrash
CD 04 | Vampiric Kiss
CE 04 | Ancient Pollen
CF 04 | Demon's Croon
D0 04 | Dark Claw
D1 04 | Poison Tail
D2 04 | Petra Voice
D3 04 | Glutton
D4 04 | Snaring Tentacle
D5 04 | Greed
D6 04 | Dread Stare
D7 04 | Chi Burst
D8 04 | Crimson Cyclone
D9 04 | Phoenix Strike
DA 04 | Suzaku Stance
DB 04 | Heavy Jump
DC 04 | Hydro Jump
DD 04 | Lick Around
DE 04 | Hug
DF 04 | Get Excited (Passive)
E0 04 | Calm Down (Passive)
E1 04 | Fixed Stare
E2 04 | Despise Solitude
E3 04 | Darkness Shroud
E4 04 | Realm of Death
E5 04 | Shed thy Tears
E6 04 | Know thy Reason
E7 04 | Selfless Strenght
E8 04 | Call Ally
E9 04 | Death's Glimmer
EA 04 | Wave of Ruin (Passive)
EB 04 | Get Excited
EC 04 | Calm Down
ED 04 | Darkness Shroud
EE 04 | Realm of Death
EF 04 | Wave of Ruin
F0 04 | Spider Lily
F1 04 | Light Speed
F2 04 | None
F3 04 | None
00 00 | (Empty)
